Year,Frequency,Commodity,Geography,Unit,AlcoholforFuel,FoodSeedIndustrial,FeedandResidual
1986,Q1 Sep-Nov,Corn,United States,Million bushels,67.943,294.473,1347.813
1986,Q2 Dec-Feb,Corn,United States,Million bushels,71.514,281.491,1463.15
1986,Q3 Mar-May,Corn,United States,Million bushels,77.433,332.613,1087.691
1986,Q4 Jun-Aug,Corn,United States,Million bushels,73.102,324.834,760.813
1987,Q1 Sep-Nov,Corn,United States,Million bushels,67.245,296.133,1550.856
1987,Q2 Dec-Feb,Corn,United States,Million bushels,69.087,287.58,1443.791
1987,Q3 Mar-May,Corn,United States,Million bushels,72.962,336.842,951.23
1987,Q4 Jun-Aug,Corn,United States,Million bushels,69.851,331.092,843.367
1988,Q1 Sep-Nov,Corn,United States,Million bushels,70.847,302.286,1343.769
1988,Q2 Dec-Feb,Corn,United States,Million bushels,76.469,301.351,1064.258
1988,Q3 Mar-May,Corn,United States,Million bushels,72.52,352.931,841.289
1988,Q4 Jun-Aug,Corn,United States,Million bushels,67.61,341.192,684.594
1989,Q1 Sep-Nov,Corn,United States,Million bushels,63.647,311.94,1486.722
1989,Q2 Dec-Feb,Corn,United States,Million bushels,80.471,312.905,1275.564
1989,Q3 Mar-May,Corn,United States,Million bushels,89.467,376.009,993.064
1989,Q4 Jun-Aug,Corn,United States,Million bushels,87.861,369.186,627.134
1990,Q1 Sep-Nov,Corn,United States,Million bushels,76.166,337.532,1618.744
1990,Q2 Dec-Feb,Corn,United States,Million bushels,86.986,329.87,1351.049
1990,Q3 Mar-May,Corn,United States,Million bushels,90.879,384.036,960.025
1990,Q4 Jun-Aug,Corn,United States,Million bushels,95.036,373.676,679.089
1991,Q1 Sep-Nov,Corn,United States,Million bushels,97.732,360.451,1673.65
1991,Q2 Dec-Feb,Corn,United States,Million bushels,100.223,362.222,1266.825
1991,Q3 Mar-May,Corn,United States,Million bushels,100.877,414.532,1041.847
1991,Q4 Jun-Aug,Corn,United States,Million bushels,99.432,396.301,815.591
1992,Q1 Sep-Nov,Corn,United States,Million bushels,103.057,370.076,1814.316
1992,Q2 Dec-Feb,Corn,United States,Million bushels,106.333,365.046,1401.098
1992,Q3 Mar-May,Corn,United States,Million bushels,112.001,413.716,1145.764
1992,Q4 Jun-Aug,Corn,United States,Million bushels,104.119,406.914,890.911
1993,Q1 Sep-Nov,Corn,United States,Million bushels,110.447,382.787,1701.179
1993,Q2 Dec-Feb,Corn,United States,Million bushels,117.923,378.918,1239.916
1993,Q3 Mar-May,Corn,United States,Million bushels,113.104,422.715,949.507
1993,Q4 Jun-Aug,Corn,United States,Million bushels,116.786,428.734,789.248
1994,Q1 Sep-Nov,Corn,United States,Million bushels,132.751,410.361,1962.546
1994,Q2 Dec-Feb,Corn,United States,Million bushels,140.176,410.53,1491.634
1994,Q3 Mar-May,Corn,United States,Million bushels,139.114,452.481,1159.076
1994,Q4 Jun-Aug,Corn,United States,Million bushels,120.751,441.825,846.405
1995,Q1 Sep-Nov,Corn,United States,Million bushels,121.2,417.151,1778.124
1995,Q2 Dec-Feb,Corn,United States,Million bushels,120.8,405.541,1343.51
1995,Q3 Mar-May,Corn,United States,Million bushels,92.2,434.522,1042.448
1995,Q4 Jun-Aug,Corn,United States,Million bushels,61.5,372.734,526.648
1996,Q1 Sep-Nov,Corn,United States,Million bushels,91.918,387.863,1884.507
1996,Q2 Dec-Feb,Corn,United States,Million bushels,106.164,400.324,1486.177
1996,Q3 Mar-May,Corn,United States,Million bushels,119.237,472.951,1095.467
1996,Q4 Jun-Aug,Corn,United States,Million bushels,111.403,454.992,808.882
1997,Q1 Sep-Nov,Corn,United States,Million bushels,114.2896,438.7317248,2026.623
1997,Q2 Dec-Feb,Corn,United States,Million bushels,126.856,433.0108968,1494.932
1997,Q3 Mar-May,Corn,United States,Million bushels,120.3136,481.7152819,1071.71
1997,Q4 Jun-Aug,Corn,United States,Million bushels,126.2728,485.2739985,854.577
1998,Q1 Sep-Nov,Corn,United States,Million bushels,127.1962,450.2762117,2118.172
1998,Q2 Dec-Feb,Corn,United States,Million bushels,134.6386,441.0476783,1453.003
1998,Q3 Mar-May,Corn,United States,Million bushels,137.7832,502.8100706,1089.276
1998,Q4 Jun-Aug,Corn,United States,Million bushels,118.202,470.1771976,789.361
1999,Q1 Sep-Nov,Corn,United States,Million bushels,131.0714,463.6447128,2183.032
1999,Q2 Dec-Feb,Corn,United States,Million bushels,140.3786,454.1081063,1521.742
1999,Q3 Mar-May,Corn,United States,Million bushels,150.5168,523.0136007,1047.31
1999,Q4 Jun-Aug,Corn,United States,Million bushels,143.8804,497.578908,887.788
2000,Q1 Sep-Nov,Corn,United States,Million bushels,144.2622,472.4194571,2125.163
2000,Q2 Dec-Feb,Corn,United States,Million bushels,159.0834,470.2933386,1601.966
2000,Q3 Mar-May,Corn,United States,Million bushels,161.292,522.251506,1144.723
2000,Q4 Jun-Aug,Corn,United States,Million bushels,165.1896,515.1016386,947.05
2001,Q1 Sep-Nov,Corn,United States,Million bushels,169.9033846,497.2719451,2194.268
2001,Q2 Dec-Feb,Corn,United States,Million bushels,175.0076538,485.1472069,1537.61
2001,Q3 Mar-May,Corn,United States,Million bushels,179.6915769,546.0049479,1159.633
2001,Q4 Jun-Aug,Corn,United States,Million bushels,182.6358462,537.0153703,953.684
2002,Q1 Sep-Nov,Corn,United States,Million bushels,225.8593701,552.6818999,1982.563
2002,Q2 Dec-Feb,Corn,United States,Million bushels,249.299252,565.6700992,1554.296
2002,Q3 Mar-May,Corn,United States,Million bushels,256.5210236,625.0527292,1133.64
2002,Q4 Jun-Aug,Corn,United States,Million bushels,263.8242913,615.1590023,874.037
2003,Q1 Sep-Nov,Corn,United States,Million bushels,262.4772727,592.6188514,2160.484
2003,Q2 Dec-Feb,Corn,United States,Million bushels,290.3098485,610.6006779,1569.345
2003,Q3 Mar-May,Corn,United States,Million bushels,304.6439394,682.5455391,1159.002
2003,Q4 Jun-Aug,Corn,United States,Million bushels,310.1166667,666.7282895,888.808
2004,Q1 Sep-Nov,Corn,United States,Million bushels,311.6371321,645.2692932,2168.659
2004,Q2 Dec-Feb,Corn,United States,Million bushels,323.8166038,639.6889325,1618.961
2004,Q3 Mar-May,Corn,United States,Million bushels,332.1542642,709.84997,1301.264
2004,Q4 Jun-Aug,Corn,United States,Million bushels,355.6045283,716.0158046,1042.765
2005,Q1 Sep-Nov,Corn,United States,Million bushels,364.3128148,706.0631445,2229.923
2005,Q2 Dec-Feb,Corn,United States,Million bushels,386.7066667,715.593474,1639.028
2005,Q3 Mar-May,Corn,United States,Million bushels,406.4551852,787.8990284,1279.491
2005,Q4 Jun-Aug,Corn,United States,Million bushels,445.8497778,813.1243763,962.87
2006,Q1 Sep-Nov,Corn,United States,Million bushels,465.9125926,811.4304586,2159.36
2006,Q2 Dec-Feb,Corn,United States,Million bushels,506.1859259,831.395286,1521.752
2006,Q3 Mar-May,Corn,United States,Million bushels,545.8525926,936.6411065,1108.372
2006,Q4 Jun-Aug,Corn,United States,Million bushels,601.5427407,966.4549657,745.844
2007,Q1 Sep-Nov,Corn,United States,Million bushels,643.8537058,985.7013081,2386.76
2007,Q2 Dec-Feb,Corn,United States,Million bushels,716.2191652,1045.962325,1734.113
2007,Q3 Mar-May,Corn,United States,Million bushels,818.6091476,1192.637324,1064.353
2007,Q4 Jun-Aug,Corn,United States,Million bushels,870.5320555,1222.660757,667.803
2008,Q1 Sep-Nov,Corn,United States,Million bushels,895.4072,1219.244528,1930.03
2008,Q2 Dec-Feb,Corn,United States,Million bushels,874.14606,1178.243979,1572.89
2008,Q3 Mar-May,Corn,United States,Million bushels,910.37657,1262.917019,941.928
2008,Q4 Jun-Aug,Corn,United States,Million bushels,1028.95921,1370.093513,683.279
2009,Q1 Sep-Nov,Corn,United States,Million bushels,1060.51,1382.029,1990.077
2009,Q2 Dec-Feb,Corn,United States,Million bushels,1134.464,1447.24,1341.241
2009,Q3 Mar-May,Corn,United States,Million bushels,1189.335,1570.067,1268.128
2009,Q4 Jun-Aug,Corn,United States,Million bushels,1206.848,1567.085,496.13
2010,Q1 Sep-Nov,Corn,United States,Million bushels,1242.658,1582.438,2047.327
2010,Q2 Dec-Feb,Corn,United States,Million bushels,1254.872,1576.708,1562.416
2010,Q3 Mar-May,Corn,United States,Million bushels,1257.794,1644.016,709.088
2010,Q4 Jun-Aug,Corn,United States,Million bushels,1263.417,1628.936,451.287
2011,Q1 Sep-Nov,Corn,United States,Million bushels,1265.728,1610.771,1781.86
2011,Q2 Dec-Feb,Corn,United States,Million bushels,1303.844,1637.071,1546.195
2011,Q3 Mar-May,Corn,United States,Million bushels,1243.296,1630.493,857.408
2011,Q4 Jun-Aug,Corn,United States,Million bushels,1187.164,1552.386,326.606
2012,Q1 Sep-Nov,Corn,United States,Million bushels,1124.38,1465.621,2059.698
2012,Q2 Dec-Feb,Corn,United States,Million bushels,1105.063,1429.863,1087.335
2012,Q3 Mar-May,Corn,United States,Million bushels,1191.162,1573.424,914.64
2012,Q4 Jun-Aug,Corn,United States,Million bushels,1220.522,1575.398,246.966
2013,Q1 Sep-Nov,Corn,United States,Million bushels,1215.751,1550.106,2313.517
2013,Q2 Dec-Feb,Corn,United States,Million bushels,1271.144,1602.303,1457.983
2013,Q3 Mar-May,Corn,United States,Million bushels,1298.856,1682.723,846.908
2013,Q4 Jun-Aug,Corn,United States,Million bushels,1337.939,1695.687,385.769
2014,Q1 Sep-Nov,Corn,United States,Million bushels,1276.24,1614.701,2226.897
2014,Q2 Dec-Feb,Corn,United States,Million bushels,1293.929,1621.427,1445.998
2014,Q3 Mar-May,Corn,United States,Million bushels,1294.531,1672.703,1094.289
2014,Q4 Jun-Aug,Corn,United States,Million bushels,1335.39,1686.525,520.256
2015,Q1 Sep-Nov,Corn,United States,Million bushels,1300.202,1631.15,2178.498
2015,Q2 Dec-Feb,Corn,United States,Million bushels,1316.279,1651.573,1437.843
2015,Q3 Mar-May,Corn,United States,Million bushels,1264.796,1654.927,914.201
2015,Q4 Jun-Aug,Corn,United States,Million bushels,1342.337,1709.497,587.312
2016,Q1 Sep-Nov,Corn,United States,Million bushels,1343.078,1688.915,2278.852
2016,Q2 Dec-Feb,Corn,United States,Million bushels,1371.212,1711.494,1523.15
2016,Q3 Mar-May,Corn,United States,Million bushels,1346.101,1741.336,981.553
2016,Q4 Jun-Aug,Corn,United States,Million bushels,1371.562,1743.485,686.089
2017,Q1 Sep-Nov,Corn,United States,Million bushels,1391.29,1742.739,2255.701
2017,Q2 Dec-Feb,Corn,United States,Million bushels,1397.464,1738.731,1497.291
2017,Q3 Mar-May,Corn,United States,Million bushels,1388.639,1781.506,951.067
2017,Q4 Jun-Aug,Corn,United States,Million bushels,1427.434,1793.546,600.241
2018,Q1 Sep-Nov,Corn,United States,Million bushels,1365.704,1711.699,2285.984
2018,Q2 Dec-Feb,Corn,United States,Million bushels,1308.554,1639.996,1194.797
2018,Q3 Mar-May,Corn,United States,Million bushels,1340.016,1713.139,1113.619
