Program,Year,Period,Geo Level,State,State ANSI,Commodity,Data Item,Domain,Domain Category,Values
SURVEY,2019,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.1725
SURVEY,2019,YEAR,STATE,ALASKA,2,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,ARKANSAS,5,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.89
SURVEY,2019,YEAR,STATE,CALIFORNIA,6,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,COLORADO,8,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.82875
SURVEY,2019,YEAR,STATE,CONNECTICUT,9,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,DELAWARE,10,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,FLORIDA,12,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,GEORGIA,13,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.65375
SURVEY,2019,YEAR,STATE,HAWAII,15,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,IDAHO,16,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.63
SURVEY,2019,YEAR,STATE,ILLINOIS,17,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.74375
SURVEY,2019,YEAR,STATE,INDIANA,18,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.9925
SURVEY,2019,YEAR,STATE,IOWA,19,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.7125
SURVEY,2019,YEAR,STATE,KANSAS,20,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.7275
SURVEY,2019,YEAR,STATE,KENTUCKY,21,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.9925
SURVEY,2019,YEAR,STATE,LOUISIANA,22,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.98
SURVEY,2019,YEAR,STATE,MAINE,23,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,MARYLAND,24,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.53625
SURVEY,2019,YEAR,STATE,MASSACHUSETTS,25,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,MICHIGAN,26,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.92
SURVEY,2019,YEAR,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.555
SURVEY,2019,YEAR,STATE,MISSISSIPPI,28,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0.98625
SURVEY,2019,YEAR,STATE,MISSOURI,29,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.85
SURVEY,2019,YEAR,STATE,MONTANA,30,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,NEBRASKA,31,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.70125
SURVEY,2019,YEAR,STATE,NEVADA,32,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,NEW HAMPSHIRE,33,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,NEW JERSEY,34,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,NEW MEXICO,35,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,NEW YORK,36,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.26375
SURVEY,2019,YEAR,STATE,NORTH CAROLINA,37,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.5475
SURVEY,2019,YEAR,STATE,NORTH DAKOTA,38,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.4
SURVEY,2019,YEAR,STATE,OHIO,39,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.97
SURVEY,2019,YEAR,STATE,OKLAHOMA,40,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.0125
SURVEY,2019,YEAR,STATE,OREGON,41,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,PENNSYLVANIA,42,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.34125
SURVEY,2019,YEAR,STATE,RHODE ISLAND,44,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,SOUTH CAROLINA,45,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,SOUTH DAKOTA,46,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.53875
SURVEY,2019,YEAR,STATE,TENNESSEE,47,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.96125
SURVEY,2019,YEAR,STATE,TEXAS,48,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.32
SURVEY,2019,YEAR,STATE,UTAH,49,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,VERMONT,50,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,VIRGINIA,51,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.8875
SURVEY,2019,YEAR,STATE,WASHINGTON,53,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0.54375
SURVEY,2019,YEAR,STATE,WEST VIRGINIA,54,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2019,YEAR,STATE,WISCONSIN,55,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.64375
SURVEY,2019,YEAR,STATE,WYOMING,56,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.095833333
SURVEY,2018,YEAR,STATE,ALASKA,2,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0.393333333
SURVEY,2018,YEAR,STATE,ARKANSAS,5,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.7675
SURVEY,2018,YEAR,STATE,CALIFORNIA,6,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,COLORADO,8,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.520833333
SURVEY,2018,YEAR,STATE,CONNECTICUT,9,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,DELAWARE,10,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,FLORIDA,12,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,GEORGIA,13,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.926666667
SURVEY,2018,YEAR,STATE,HAWAII,15,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,IDAHO,16,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.201666667
SURVEY,2018,YEAR,STATE,ILLINOIS,17,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.500833333
SURVEY,2018,YEAR,STATE,INDIANA,18,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.634166667
SURVEY,2018,YEAR,STATE,IOWA,19,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.41
SURVEY,2018,YEAR,STATE,KANSAS,20,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.503333333
SURVEY,2018,YEAR,STATE,KENTUCKY,21,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.771666667
SURVEY,2018,YEAR,STATE,LOUISIANA,22,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.840833333
SURVEY,2018,YEAR,STATE,MAINE,23,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,MARYLAND,24,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.191666667
SURVEY,2018,YEAR,STATE,MASSACHUSETTS,25,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,MICHIGAN,26,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.568333333
SURVEY,2018,YEAR,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.280833333
SURVEY,2018,YEAR,STATE,MISSISSIPPI,28,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.5325
SURVEY,2018,YEAR,STATE,MISSOURI,29,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.541666667
SURVEY,2018,YEAR,STATE,MONTANA,30,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0.578333333
SURVEY,2018,YEAR,STATE,NEBRASKA,31,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.455
SURVEY,2018,YEAR,STATE,NEVADA,32,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,NEW HAMPSHIRE,33,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,NEW JERSEY,34,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,NEW MEXICO,35,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,NEW YORK,36,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.1225
SURVEY,2018,YEAR,STATE,NORTH CAROLINA,37,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.075
SURVEY,2018,YEAR,STATE,NORTH DAKOTA,38,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.15
SURVEY,2018,YEAR,STATE,OHIO,39,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.648333333
SURVEY,2018,YEAR,STATE,OKLAHOMA,40,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.489166667
SURVEY,2018,YEAR,STATE,OREGON,41,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,PENNSYLVANIA,42,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.9975
SURVEY,2018,YEAR,STATE,RHODE ISLAND,44,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,SOUTH CAROLINA,45,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.645
SURVEY,2018,YEAR,STATE,SOUTH DAKOTA,46,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.2175
SURVEY,2018,YEAR,STATE,TENNESSEE,47,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.755833333
SURVEY,2018,YEAR,STATE,TEXAS,48,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.9375
SURVEY,2018,YEAR,STATE,UTAH,49,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0.384166667
SURVEY,2018,YEAR,STATE,VERMONT,50,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,VIRGINIA,51,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.173333333
SURVEY,2018,YEAR,STATE,WASHINGTON,53,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.045833333
SURVEY,2018,YEAR,STATE,WEST VIRGINIA,54,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,WISCONSIN,55,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.409166667
SURVEY,2018,YEAR,STATE,WYOMING,56,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0.299166667
SURVEY,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.3225
SURVEY,2017,YEAR,STATE,ALASKA,2,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
SURVEY,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,0
